66,2018-7696-te51-mu94,/en/scores/2018/7696/MS010/match-stats?isLive=False,01:52:00,112,5,2,46,80,36,46,19,34,1,2,55,80,16,54,19,34,2,8,12,12,35,88,90,168,6,0,54,88,38,54,15,34,6,8,53,88,10,46,15,34,1,2,12,12,25,80,78,168
66,2018-7696--,/en/scores/2018/7696/MS000/match-stats?isLive=False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2018-605-z355-d643,/en/scores/2018/605/MS001/match-stats?isLive=False,01:20:00,80,10,3,33,46,26,33,7,13,0,1,33,46,9,34,15,23,4,6,9,10,24,57,57,103,1,1,34,57,25,34,8,23,2,6,33,57,7,33,6,13,1,1,10,9,13,46,46,103
67,2018-605-z355-f324,/en/scores/2018/605/MS003/match-stats?isLive=False,01:36:00,96,7,1,43,65,38,43,14,22,2,3,52,65,8,37,11,28,2,2,12,12,19,65,71,130,3,0,37,65,29,37,17,28,0,2,46,65,5,43,8,22,1,3,12,12,13,65,59,130
67,2018-605-d643-a678,/en/scores/2018/605/MS002/match-stats?isLive=False,01:16:00,76,6,1,27,39,23,27,9,12,0,0,32,39,10,33,20,27,4,9,8,8,30,60,62,99,4,3,33,60,23,33,7,27,5,9,30,60,4,27,3,12,0,0,8,8,7,39,37,99
67,2018-605-f324-a678,/en/scores/2018/605/MS016/match-stats?isLive=False,01:17:00,77,3,1,29,50,23,29,13,21,3,4,36,50,8,30,17,25,4,6,9,10,25,55,61,105,10,2,30,55,22,30,8,25,2,6,30,55,6,29,8,21,1,4,10,9,14,50,44,105
67,2018-605-z355-i186,/en/scores/2018/605/MS012/match-stats?isLive=False,01:21:00,81,18,2,48,64,41,48,9,16,1,1,50,64,10,37,8,23,1,1,11,10,18,60,68,124,10,1,37,60,27,37,15,23,0,1,42,60,7,48,7,16,0,1,10,11,14,64,56,124
67,2018-605-tb69-n552,/en/scores/2018/605/MS021/match-stats?isLive=False,01:25:00,85,3,2,47,66,31,47,12,19,4,4,43,66,11,37,17,26,3,9,9,8,28,63,71,129,0,6,37,63,26,37,9,26,6,9,35,63,16,47,7,19,0,4,8,9,23,66,58,129
67,2018-605-d643-c977,/en/scores/2018/605/MS009/match-stats?isLive=False,01:35:00,95,3,0,31,53,28,31,20,22,0,0,48,53,9,44,18,33,2,8,10,10,27,77,75,130,8,2,44,77,35,44,15,33,6,8,50,77,3,31,2,22,0,0,10,10,5,53,55,130
67,2018-605-f324-tb69,/en/scores/2018/605/MS017/match-stats?isLive=False,01:07:00,67,4,0,22,38,19,22,13,16,0,0,32,38,14,32,16,32,4,7,8,9,30,64,62,102,1,3,32,64,18,32,16,32,3,7,34,64,3,22,3,16,0,0,9,8,6,38,40,102
67,2018-605-c977-i186,/en/scores/2018/605/MS013/match-stats?isLive=False,02:14:00,134,6,3,53,89,47,53,20,36,4,5,67,89,18,68,18,36,3,11,16,15,36,104,103,193,17,6,68,104,50,68,18,36,8,11,68,104,6,53,16,36,1,5,15,16,22,89,90,193
67,2018-605-d643-z355,/en/scores/2018/605/MS008/match-stats?isLive=False,01:17:00,77,1,3,32,52,24,32,14,20,2,2,38,52,10,30,13,20,3,5,9,8,23,50,61,102,9,2,30,50,20,30,7,20,2,5,27,50,8,32,6,20,0,2,8,9,14,52,41,102
67,2018-605-a678-n552,/en/scores/2018/605/MS020/match-stats?isLive=False,01:05:00,65,10,0,28,36,23,28,5,8,0,0,28,36,11,22,17,27,5,12,7,6,28,49,56,85,2,2,22,49,11,22,10,27,7,12,21,49,5,28,3,8,0,0,6,7,8,36,29,85
67,2018-605-z355-c977,/en/scores/2018/605/MS011/match-stats?isLive=False,02:07:00,127,8,4,53,84,40,53,15,31,3,5,55,84,14,47,25,44,2,5,12,12,39,91,94,175,8,4,47,91,33,47,19,44,3,5,52,91,13,53,16,31,2,5,12,12,29,84,81,175
67,2018-605-d643-i186,/en/scores/2018/605/MS010/match-stats?isLive=False,01:14:00,74,6,1,30,43,26,30,11,13,0,0,37,43,15,45,12,20,3,9,9,10,27,65,64,108,13,2,45,65,30,45,8,20,6,9,38,65,4,30,2,13,0,0,10,9,6,43,44,108
67,2018-605-n552-f324,/en/scores/2018/605/MS018/match-stats?isLive=False,01:28:00,88,2,4,36,68,28,36,20,32,1,2,48,68,7,32,11,24,2,2,11,10,18,56,66,124,4,4,32,56,25,32,13,24,0,2,38,56,8,36,12,32,1,2,10,11,20,68,58,124
67,2018-605-a678-tb69,/en/scores/2018/605/MS019/match-stats?isLive=False,01:48:00,108,13,4,44,72,40,44,16,28,0,0,56,72,8,41,12,30,1,7,11,10,20,71,76,143,5,3,41,71,33,41,18,30,6,7,51,71,4,44,12,28,0,0,10,11,16,72,67,143
